Height(Centimeter),Weight(Kilograms),Gender,BMI,Skin Color,Clothes Color,Pants Color
167.09,51.25,Female,Underweight,"{""r"": 226, ""g"": 165, ""b"": 137}","{""r"": 19, ""g"": 165, ""b"": 16}","{""r"": 24, ""g"": 212, ""b"": 123}"
181.65,61.91,Male,Ideal,"{""r"": 204, ""g"": 150, ""b"": 103}","{""r"": 55, ""g"": 238, ""b"": 252}","{""r"": 101, ""g"": 131, ""b"": 136}"
176.27,69.41,Male,Ideal,"{""r"": 226, ""g"": 165, ""b"": 137}","{""r"": 58, ""g"": 67, ""b"": 207}","{""r"": 27, ""g"": 41, ""b"": 168}"
173.27,64.56,Male,Ideal,"{""r"": 119, ""g"": 78, ""b"": 58}","{""r"": 29, ""g"": 140, ""b"": 46}","{""r"": 71, ""g"": 123, ""b"": 25}"
172.18,65.45,Male,Ideal,"{""r"": 226, ""g"": 165, ""b"": 137}","{""r"": 200, ""g"": 235, ""b"": 99}","{""r"": 122, ""g"": 118, ""b"": 117}"
174.49,55.93,Female,Underweight,"{""r"": 246, ""g"": 215, ""b"": 197}","{""r"": 8, ""g"": 130, ""b"": 235}","{""r"": 127, ""g"": 162, ""b"": 107}"
177.3,64.18,Male,Ideal,"{""r"": 226, ""g"": 165, ""b"": 137}","{""r"": 180, ""g"": 50, ""b"": 118}","{""r"": 122, ""g"": 113, ""b"": 78}"
177.84,61.9,Male,Ideal,"{""r"": 226, ""g"": 165, ""b"": 137}","{""r"": 12, ""g"": 2, ""b"": 101}","{""r"": 101, ""g"": 89, ""b"": 170}"
172.47,50.97,Female,Underweight,"{""r"": 252, ""g"": 218, ""b"": 191}","{""r"": 215, ""g"": 149, ""b"": 212}","{""r"": 57, ""g"": 35, ""b"": 198}"
169.63,54.73,Female,Ideal,"{""r"": 243, ""g"": 214, ""b"": 200}","{""r"": 218, ""g"": 217, ""b"": 32}","{""r"": 224, ""g"": 237, ""b"": 254}"
168.88,57.81,Female,Ideal,"{""r"": 226, ""g"": 165, ""b"": 137}","{""r"": 43, ""g"": 117, ""b"": 6}","{""r"": 41, ""g"": 56, ""b"": 253}"
171.76,51.77,Female,Underweight,"{""r"": 243, ""g"": 214, ""b"": 200}","{""r"": 32, ""g"": 180, ""b"": 82}","{""r"": 177, ""g"": 83, ""b"": 28}"
173.49,56.98,Female,Ideal,"{""r"": 119, ""g"": 78, ""b"": 58}","{""r"": 127, ""g"": 216, ""b"": 133}","{""r"": 159, ""g"": 122, ""b"": 74}"
170.48,55.55,Female,Ideal,"{""r"": 246, ""g"": 215, ""b"": 197}","{""r"": 37, ""g"": 95, ""b"": 115}","{""r"": 118, ""g"": 130, ""b"": 174}"
173.43,52.66,Female,Underweight,"{""r"": 246, ""g"": 215, ""b"": 197}","{""r"": 184, ""g"": 210, ""b"": 47}","{""r"": 164, ""g"": 177, ""b"": 59}"
180.57,63.5,Male,Ideal,"{""r"": 226, ""g"": 165, ""b"": 137}","{""r"": 251, ""g"": 238, ""b"": 220}","{""r"": 104, ""g"": 248, ""b"": 215}"
168.81,58.74,Female,Ideal,"{""r"": 243, ""g"": 214, ""b"": 200}","{""r"": 217, ""g"": 71, ""b"": 135}","{""r"": 61, ""g"": 172, ""b"": 147}"
174.37,64.85,Male,Ideal,"{""r"": 246, ""g"": 215, ""b"": 197}","{""r"": 216, ""g"": 164, ""b"": 225}","{""r"": 168, ""g"": 103, ""b"": 19}"
